rel_month,Coef,SE,CI_lo,CI_hi,t,p,N,Specification
-7,0.003235487217929798,0.007571644983315294,-0.01160493694936818,0.018075911385227773,0.4273162866272051,0.6691678172097792,223313,binary_fim
-6,0.0010997452231017626,0.0074020523887729705,-0.01340827745889326,0.015607767905096784,0.14857301263765657,0.8818967056233706,223313,binary_fim
-5,-0.00895099613826795,0.006413832313312486,-0.02152210747236042,0.0036201151958245217,-1.395576887735177,0.16290541578584916,223313,binary_fim
-4,-0.004109887722164377,0.005829794872241138,-0.015536285671757008,0.0073165102274282525,-0.7049798169973037,0.4808564276260434,223313,binary_fim
-3,0.012486986926017879,0.004595004344234566,0.003480778411318129,0.02149319544071763,2.71751362796545,0.006600655561367574,223313,binary_fim
-2,0.013287239512877528,0.0033483183427499555,0.006724535561087615,0.019849943464667442,3.9683322052241876,7.341604980215521e-05,223313,binary_fim
-1,0.0,0.0,0.0,0.0,,,223313,binary_fim
0,-0.001672500570457483,0.004549193660897589,-0.010588920145816758,0.007243919004901791,-0.3676476965211207,0.7131518822743526,223313,binary_fim
1,0.0009135112297933853,0.00576369232982974,-0.010383325736672906,0.012210348196259675,0.15849410022557026,0.8740740247184025,223313,binary_fim
2,0.006156843117411433,0.005989556549545393,-0.005582687719697535,0.0178963739545204,1.0279297083986523,0.3040338191276528,223313,binary_fim
3,0.0005812924781998007,0.006083887561717185,-0.011343127142765884,0.012505712099165484,0.0955462230856433,0.9238848989244606,223313,binary_fim
4,-0.0009263863737938089,0.00603570896927796,-0.01275637595357861,0.010903603205990991,-0.15348426812975224,0.8780227390667898,223313,binary_fim
5,0.006406166267603575,0.005965837325358276,-0.005286874890098645,0.018099207425305797,1.0738084057997435,0.2829616328443745,223313,binary_fim
6,0.00437774602878126,0.006087422928359347,-0.007553602910803059,0.01630909496836558,0.7191460294941474,0.4720853692489211,223313,binary_fim
7,0.01407957423741945,0.006248481408534638,0.0018325506766915592,0.02632659779814734,2.253279367717815,0.024285737865603396,223313,binary_fim
8,0.029772746121689196,0.005746098728837957,0.018510392613166803,0.04103509963021159,5.181384366451739,2.2911348307452784e-07,223313,binary_fim
9,0.04584862415410797,0.006207348176765391,0.0336822217276478,0.05801502658056813,7.38618534815287,1.7674750552032492e-13,223313,binary_fim
10,0.04478496200791231,0.006100737487169533,0.03282751653306002,0.056742407482764594,7.340909537920555,2.473576898864849e-13,223313,binary_fim
11,0.04449185241467281,0.006102640931336036,0.032530676189254176,0.05645302864009144,7.290589912674465,3.581579477440755e-13,223313,binary_fim
12,0.0431188959925363,0.006019322118865009,0.031321024639560886,0.054916767345511715,7.163413942809014,9.043876758596525e-13,223313,binary_fim
13,0.04301030531018738,0.006003284363202443,0.031243867958310592,0.05477674266206417,7.1644624355664535,8.975042931069765e-13,223313,binary_fim
14,0.041734577275704135,0.006050050715048323,0.029876477874209422,0.053592676677198844,6.898219410276595,5.937250691090412e-12,223313,binary_fim
15,0.034305136810295,0.006520430881136979,0.021525092283266517,0.04708518133732348,5.261176360221328,1.49257714632256e-07,223313,binary_fim
16,0.02123638640272604,0.006712833085629028,0.008079233554893145,0.034393539250558935,3.1635504908038508,0.0015681385792973845,223313,binary_fim
17,0.01734769811086384,0.006830103211442713,0.003960695816436124,0.030734700405291557,2.5398881354824376,0.011119534632808348,223313,binary_fim
18,0.018961087386988387,0.007182552671434368,0.004883284150977026,0.03303889062299975,2.6398814257775327,0.008319883694045238,223313,binary_fim
19,0.022386374638766658,0.007300335281108645,0.008077717487793715,0.0366950317897396,3.066485822465816,0.0021777640451907665,223313,binary_fim
20,-0.025645563354338877,0.00785721746527095,-0.041045709586269935,-0.010245417122407816,-3.263949797456002,0.001106274822346709,223313,binary_fim
21,-0.04336324530637422,0.008236100403919791,-0.05950600209805701,-0.02722048851469143,-5.265021451867735,1.4618459842630216e-07,223313,binary_fim
22,-0.0022048105034168045,0.008011417062740486,-0.01790718794638816,0.01349756693955455,-0.2752085537614739,0.7831676621059112,223313,binary_fim
23,0.005019081505789436,0.008198774275586813,-0.011050516074360715,0.021088679085939588,0.6121746174589255,0.5404507428488692,223313,binary_fim
-24,-0.0016411170783814202,0.003214608243113552,-0.007941749234883982,0.004659515078121142,-0.5105185311140414,0.609711284260356,223473,cont_fm
-23,0.004318097601492184,0.003073204125024815,-0.0017053824835564536,0.010341577686540822,1.4050799835683927,0.16006103070377597,223473,cont_fm
-22,0.008902427173473927,0.003112663812765942,0.002801606100452681,0.015003248246495174,2.8600670387089275,0.004253464951541774,223473,cont_fm
-21,0.010278795579392324,0.0027954294437521885,0.004799753869638035,0.015757837289146613,3.6770005418543223,0.0002385263370854318,223473,cont_fm
-20,0.010883319004882104,0.002739552076220315,0.005513796935490287,0.01625284107427392,3.9726636698571256,7.209608146951929e-05,223473,cont_fm
-19,0.01155680832083505,0.0027378066971147064,0.006190707194490225,0.016922909447179873,4.221192216753078,2.4742249822740092e-05,223473,cont_fm
-18,0.012326345235765078,0.002802594797712637,0.00683325943224831,0.017819431039281845,4.398190293447107,1.1147631826524673e-05,223473,cont_fm
-17,0.00994746179158469,0.002813203450337336,0.004433583028923512,0.015461340554245868,3.5359908969228204,0.00041001447279764847,223473,cont_fm
-16,0.009789762122823533,0.0027524748396353265,0.004394911437138293,0.015184612808508774,3.5567126652175216,0.00037908257460483874,223473,cont_fm
-15,0.02690726561469262,0.003101062496371664,0.020829183121804158,0.03298534810758108,8.676789212140976,0.0,223473,cont_fm
-14,0.03174595285472434,0.0034871161477495576,0.024911205205135206,0.038580700504313475,9.103784190042504,0.0,223473,cont_fm
-13,0.027019933688154894,0.003516543896791714,0.020127507650443133,0.033912359725866655,7.683661709102019,1.84297022087776e-14,223473,cont_fm
-12,0.013827324877624194,0.003441346837269364,0.007082285076576241,0.02057236467867215,4.017998048867368,5.957656292276958e-05,223473,cont_fm
-11,0.0159689156212552,0.0036753792819203828,0.00876517222869125,0.023172659013819152,4.34483474938441,1.422057789990383e-05,223473,cont_fm
-10,0.01896233860597603,0.003653039096759487,0.011802381976327435,0.02612229523562462,5.190839217351112,2.178262803465003e-07,223473,cont_fm
