bootstrap_id,feature,label,rank,mean_abs_shap
53,kw_data_stock_p10k,数据存量,2,0.0059432580014212805
53,kw_data_dev_p10k,数据开发能力,1,0.006053417192620317
53,kw_data_app_p10k,数据驱动应用,3,0.005055608641406389
53,kw_data_value_p10k,数据价值变现,5,0.0014769442211654811
53,kw_data_gov_p10k,数据治理,4,0.0023958613296671586
54,kw_data_stock_p10k,数据存量,2,0.00579899192132433
54,kw_data_dev_p10k,数据开发能力,1,0.00597755574761416
54,kw_data_app_p10k,数据驱动应用,3,0.005721555114172042
54,kw_data_value_p10k,数据价值变现,5,0.0015348456108738413
54,kw_data_gov_p10k,数据治理,4,0.001974243520897612
55,kw_data_stock_p10k,数据存量,3,0.0052594303783270804
55,kw_data_dev_p10k,数据开发能力,1,0.006319558146471287
55,kw_data_app_p10k,数据驱动应用,2,0.0056289674181138494
55,kw_data_value_p10k,数据价值变现,5,0.0014644129363041364
55,kw_data_gov_p10k,数据治理,4,0.002562945636841866
56,kw_data_stock_p10k,数据存量,3,0.005391402228769739
56,kw_data_dev_p10k,数据开发能力,1,0.005985960879449121
56,kw_data_app_p10k,数据驱动应用,2,0.0055146309663287735
56,kw_data_value_p10k,数据价值变现,5,0.0013648405150999468
56,kw_data_gov_p10k,数据治理,4,0.002590621254114715
57,kw_data_stock_p10k,数据存量,1,0.005259001235751752
57,kw_data_dev_p10k,数据开发能力,3,0.005204246705234488
57,kw_data_app_p10k,数据驱动应用,2,0.005238374834782319
57,kw_data_value_p10k,数据价值变现,5,0.0012195846838760098
57,kw_data_gov_p10k,数据治理,4,0.002642057971022045
58,kw_data_stock_p10k,数据存量,2,0.0054734741028514625
58,kw_data_dev_p10k,数据开发能力,1,0.006555494256968136
58,kw_data_app_p10k,数据驱动应用,3,0.005183961987500775
58,kw_data_value_p10k,数据价值变现,5,0.0015443758032058009
58,kw_data_gov_p10k,数据治理,4,0.0025813854872850936
59,kw_data_stock_p10k,数据存量,3,0.00501705869892266
59,kw_data_dev_p10k,数据开发能力,1,0.006339410868282692
59,kw_data_app_p10k,数据驱动应用,2,0.005102913594132963
59,kw_data_value_p10k,数据价值变现,5,0.0021260340817441784
59,kw_data_gov_p10k,数据治理,4,0.0025848426451487096
60,kw_data_stock_p10k,数据存量,2,0.005825114312453804
60,kw_data_dev_p10k,数据开发能力,1,0.00621191886275976
60,kw_data_app_p10k,数据驱动应用,3,0.005551493101296834
60,kw_data_value_p10k,数据价值变现,5,0.0013517998768129559
60,kw_data_gov_p10k,数据治理,4,0.0023716500915356574
61,kw_data_stock_p10k,数据存量,2,0.005386986687409056
61,kw_data_dev_p10k,数据开发能力,1,0.006304341925476958
61,kw_data_app_p10k,数据驱动应用,3,0.005009883299098658
61,kw_data_value_p10k,数据价值变现,5,0.0014373351385566337
61,kw_data_gov_p10k,数据治理,4,0.0024991588629198138
62,kw_data_stock_p10k,数据存量,2,0.005820391003408787
62,kw_data_dev_p10k,数据开发能力,1,0.0066629254647837186
62,kw_data_app_p10k,数据驱动应用,3,0.005661965056052151
62,kw_data_value_p10k,数据价值变现,5,0.0013569792541623322
62,kw_data_gov_p10k,数据治理,4,0.0029177555347039527
63,kw_data_stock_p10k,数据存量,3,0.005939927320433339
63,kw_data_dev_p10k,数据开发能力,2,0.006339718388693246
