policy,exposure,outcome,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,x_mean,n
pb_broad,high_lev_pre,Lev,ok,-0.04480559694283704,0.008550173826185701,-5.240314156609979,3.36175532078542e-07,***,26541.0,1294.0,406.0,0.43810332700529503,0.048754756791379375,
pb_broad,private_highlev_pre,AuditFee,ok,0.027501535077061153,0.014070614634038985,1.9545368693795864,0.051730516566278695,*,26490.0,965.0,406.0,13.99898005736616,0.03642884107210268,
pb_broad,private_highlev_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_broad,private_highlev_pre,InvestIneff,ok,0.005464201647607359,0.003648967291059706,1.4974652310518481,0.135570042619384,,22884.0,934.0,397.0,0.06884132895139639,0.04081454291207831,
pb_broad,private_highlev_pre,NCSKEW,ok,0.056260114071655896,0.0293397342963996,1.9175399989412927,0.0562864843267612,*,26541.0,967.0,406.0,-0.6896997822213247,0.03643419614935383,
pb_broad,private_highlev_pre,DUVOL,ok,0.009747617688368558,0.01133579956416202,0.8598967927401895,0.39065363135961784,,26541.0,967.0,406.0,-0.46108389944967165,0.03643419614935383,
pb_broad,private_highlev_pre,short_liab_ratio,ok,0.021553424916951353,0.010486880651428993,2.0552751226375765,0.040871017696730405,**,26541.0,967.0,406.0,0.8047610984859852,0.03643419614935383,
pb_broad,private_highlev_pre,Lev,ok,-0.033709157728929316,0.00909343398764676,-3.7069777792110776,0.00025730812521040924,***,26541.0,967.0,406.0,0.43810332700529503,0.03643419614935383,
pb_broad,natural_highlev_pre,AuditFee,ok,0.023867390980196638,0.012786178167924486,1.8666555922136747,0.06309735866986488,*,26490.0,953.0,406.0,13.99898005736616,0.03597583993959985,
pb_broad,natural_highlev_pre,absDA,skip_no_variation,,,,,,,,,,,7942.0
pb_broad,natural_highlev_pre,InvestIneff,ok,0.005280344817385176,0.0035394373114921566,1.4918599632321465,0.13703292359333452,,22884.0,925.0,397.0,0.06884132895139639,0.04042125502534522,
