outcome,exposure,event,term,coef,se_city_cluster,t,p,sig,ci_low,ci_high,n_input,clusters_city
NCSKEW,high_lev_pre,>=+2,es_lag2p_high_lev_pre,0.0825508568021372,0.034498542292564646,2.392879562912115,0.017440826133439113,**,0.01461251282100022,0.15048920078327416,26541,406
DUVOL,high_lev_pre,<=-4,es_lead4m_high_lev_pre,0.018725813459915197,0.03024556451768297,0.6191259365969913,0.536386120712117,,-0.04083709643581359,0.07828872335564399,26541,406
DUVOL,high_lev_pre,-3,es_lead3_high_lev_pre,0.02684955649777017,0.041995183496518415,0.6393484743314937,0.5231701793966934,,-0.055852002244679955,0.10955111524022029,26541,406
DUVOL,high_lev_pre,-2,es_lead2_high_lev_pre,0.017270619065402244,0.03371937485049111,0.512186810757279,0.6089635857407698,,-0.04913330223637696,0.08367454036718144,26541,406
DUVOL,high_lev_pre,0,es_event0_high_lev_pre,-0.000665003706111036,0.031035383894178026,-0.021427275021907655,0.9829215730886429,,-0.06178331324824324,0.06045330583602117,26541,406
DUVOL,high_lev_pre,+1,es_lag1_high_lev_pre,0.0623319744818281,0.029074989666014302,2.143834794021881,0.03299207033439577,**,0.005074290014290064,0.11958965894936613,26541,406
DUVOL,high_lev_pre,>=+2,es_lag2p_high_lev_pre,0.04533571498891012,0.022007803442374973,2.0599836375137,0.040414974297272366,**,0.001995515050677625,0.08867591492714261,26541,406
InvestIneff,natural_highlev_pre,<=-4,es_lead4m_natural_highlev_pre,-0.02816552242006758,0.006970501587052394,-4.040673697339749,7.154171498124917e-05,***,-0.041895837969518845,-0.014435206870616314,22884,397
InvestIneff,natural_highlev_pre,-3,es_lead3_natural_highlev_pre,-0.003986409539013776,0.006473192094333823,-0.6158336537707878,0.5385807034720886,,-0.016737137583105764,0.008764318505078214,22884,397
InvestIneff,natural_highlev_pre,-2,es_lead2_natural_highlev_pre,-0.021837302930245703,0.005834791838642589,-3.742601884376042,0.00022734757064024613,***,-0.03333052649664377,-0.01034407936384764,22884,397
