exposure,y_family,y_name,event_time,coef,se,t_stat,p_value,N,sig_10,sig_05,sig_01
wstr,pricing_efficiency,SYNCH,m3,.0510350116762856,.036065657,1.4150584,.15787247,23498,0,0,0
wstr,pricing_efficiency,SYNCH,p0,-.0653953283831682,.03957437,-1.6524668,.099267587,23498,1,0,0
wstr,pricing_efficiency,SYNCH,p1,-.0382719227729786,.041635387,-.91921616,.35856715,23498,0,0,0
wstr,pricing_efficiency,SYNCH,p2,.0000108231104768,.042999819,.00025170131,.99979931,23498,0,0,0
wstr,pricing_efficiency,SYNCH,p3,.0814018915202725,.038380917,2.1208949,.034579463,23498,1,1,0
wstr,valuation,TobinQ,m2,-.0259685380433836,.030937148,-.83939666,.40177593,23526,0,0,0
wstr,valuation,TobinQ,m3,-.1384612500237355,.048738111,-2.8409235,.0047411979,23526,1,1,1
wstr,valuation,TobinQ,p0,-.0152333058759125,.025832394,-.58969778,.55574465,23526,0,0,0
wstr,valuation,TobinQ,p1,-.0051260671905625,.043424759,-.1180448,.90609467,23526,0,0,0
wstr,valuation,TobinQ,p2,.0240719298964036,.045531709,.52868497,.59733349,23526,0,0,0
wstr,valuation,TobinQ,p3,.0628729075022526,.044853546,1.4017377,.16181199,23526,0,0,0
