sample,outcome,exposure,spec,status,coef,se_city_cluster,t,p,sig,n_input,treated_x_obs,clusters_city,y_mean,expected_sign
nonfinancial,risk_quality_index,private_pre,main_fe,ok,-0.027264344381624884,0.025116443748213264,-1.0855177052509442,0.27871756402485404,,26541,972,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,private_pre,plus_exposure_group_year_fe,ok,-0.058721264411563175,0.03296589395192955,-1.781273230363168,0.07605803473300843,*,26541,972,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,high_lev_pre,main_fe,ok,0.06732632713418216,0.033116642993676615,2.0330057955160985,0.04308779397334206,**,26541,595,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,high_lev_pre,plus_exposure_group_year_fe,ok,0.062178794586857884,0.035529962127163854,1.750038301879306,0.08131448617891746,*,26541,595,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,natural_highlev_pre,main_fe,ok,0.02357115621397878,0.04430698977127649,0.5319963359203332,0.595191716240417,,26541,400,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,natural_highlev_pre,plus_exposure_group_year_fe,ok,-0.0067674164857718455,0.04415834211374263,-0.15325340947675073,0.8783196437718579,,26541,400,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,private_highlev_pre,main_fe,ok,0.04169937849940155,0.04076375030859925,1.0229524561336774,0.3072997866325804,,26541,410,406,-0.01877951288985768,1
nonfinancial,risk_quality_index,private_highlev_pre,plus_exposure_group_year_fe,ok,0.01783405643376662,0.04328231061936477,0.4120403041927146,0.680656036826508,,26541,410,406,-0.01877951288985768,1
nonfinancial,risk_specificity_index,natural_pre,main_fe,ok,-0.039788341967845656,0.03840987325625269,-1.0358883952153777,0.3012355461548504,,26541,997,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,natural_pre,plus_exposure_group_year_fe,ok,-0.06452832594126143,0.03971832062336106,-1.624648900772202,0.10547273826541592,,26541,997,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,failure_cost_pre,main_fe,ok,0.02206970056864407,0.06151867770383899,0.35874796716033513,0.7200804821979738,,26541,1210,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,failure_cost_pre,plus_exposure_group_year_fe,ok,0.008992615884169917,0.06533791698711011,0.13763242384883473,0.8906395414695831,,26541,1210,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,private_pre,main_fe,ok,-0.04758396610483204,0.03170403701030461,-1.5008803481198956,0.1346236777947769,,26541,972,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,private_pre,plus_exposure_group_year_fe,ok,-0.06787315167986105,0.03565252513942784,-1.9037403778393434,0.058069759757637396,*,26541,972,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,high_lev_pre,main_fe,ok,0.07812482291708223,0.02842446832650382,2.7485060413332807,0.006414521387628103,***,26541,595,406,-0.0117264300983227,1
nonfinancial,risk_specificity_index,high_lev_pre,plus_exposure_group_year_fe,ok,0.07372373890715707,0.03281825504822013,2.2464247047514925,0.02553304168686643,**,26541,595,406,-0.0117264300983227,1
